web_scraper_order,web_scraper_start_url,location_title,city,location_of_store_irvine,location_of_store_sandiego,location_losangeles,country,phone,hoursofoperation,allstores,latitude,longitude
1723130325-21,https://www.sephora.com/happening/storelist,California,"Costa Mesa, South Coast Plaza West",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-22,https://www.sephora.com/happening/storelist,California,"Culver City, Culver City",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-23,https://www.sephora.com/happening/storelist,California,"Culver City, The Steps At Culver City",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-24,https://www.sephora.com/happening/storelist,California,"Daly City, Daly City",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-25,https://www.sephora.com/happening/storelist,California,"Downey, Downey Landing",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-26,https://www.sephora.com/happening/storelist,California,"Dublin, Persimmon Place",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-27,https://www.sephora.com/happening/storelist,California,"Elk Grove, The Ridge Shopping Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-28,https://www.sephora.com/happening/storelist,California,"Emeryville, Emeryville",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-29,https://www.sephora.com/happening/storelist,California,"Encinitas, Encinitas Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-30,https://www.sephora.com/happening/storelist,California,"Folsom, Folsom",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-31,https://www.sephora.com/happening/storelist,California,"Foothill Ranch, Foothill Ranch Towne Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-32,https://www.sephora.com/happening/storelist,California,"Fremont, Pacific Commons",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-33,https://www.sephora.com/happening/storelist,California,"Fresno, Fashion Fair",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-34,https://www.sephora.com/happening/storelist,California,"Fresno, River Park",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-35,https://www.sephora.com/happening/storelist,California,"Glendale, Americana - Glendale",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-36,https://www.sephora.com/happening/storelist,California,"Hollywood, Ovation Hollywood",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-37,https://www.sephora.com/happening/storelist,California,"Huntington Beach, Huntington Beach",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-38,https://www.sephora.com/happening/storelist,California,"Irvine, Irvine Spectrum",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-39,https://www.sephora.com/happening/storelist,California,"La Jolla, La Jolla Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-40,https://www.sephora.com/happening/storelist,California,"Laguna Niguel, Aliso Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-41,https://www.sephora.com/happening/storelist,California,"Long Beach, Long Beach",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-42,https://www.sephora.com/happening/storelist,California,"Los Angeles, Beverly Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-43,https://www.sephora.com/happening/storelist,California,"Los Angeles, Beverly Drive",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-44,https://www.sephora.com/happening/storelist,California,"Los Angeles, Century City",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-45,https://www.sephora.com/happening/storelist,California,"Los Angeles, Fig At 7th",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-46,https://www.sephora.com/happening/storelist,California,"Los Angeles, The Grove",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-47,https://www.sephora.com/happening/storelist,California,"Los Angeles, USC Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-48,https://www.sephora.com/happening/storelist,California,"Los Gatos, Los Gatos",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-49,https://www.sephora.com/happening/storelist,California,"Malibu, Malibu",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-50,https://www.sephora.com/happening/storelist,California,"Manhattan Beach, Manhattan Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-51,https://www.sephora.com/happening/storelist,California,"Marina Del Rey, Marina Del Rey",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-52,https://www.sephora.com/happening/storelist,California,"Milpitas, The Great Mall",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-53,https://www.sephora.com/happening/storelist,California,"Mission Viejo, Mission Viejo",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-54,https://www.sephora.com/happening/storelist,California,"Modesto, Modesto",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-55,https://www.sephora.com/happening/storelist,California,"Montclair, Montclair",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-56,https://www.sephora.com/happening/storelist,California,"Monterey, Monterey",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-57,https://www.sephora.com/happening/storelist,California,"Northridge, Northridge Fashion",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-58,https://www.sephora.com/happening/storelist,California,"Novato, Novato",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-59,https://www.sephora.com/happening/storelist,California,"NY, Harlem",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-60,https://www.sephora.com/happening/storelist,California,"Ontario, Ontario Mills",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-61,https://www.sephora.com/happening/storelist,California,"Pacific Palisades, Pacific Palisades",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-62,https://www.sephora.com/happening/storelist,California,"Palm Desert, Palm Desert",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-63,https://www.sephora.com/happening/storelist,California,"Palm Springs, Palm Springs",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-64,https://www.sephora.com/happening/storelist,California,"Palo Alto, Downtown Palo Alto",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-65,https://www.sephora.com/happening/storelist,California,"Palo Alto, Stanford",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-66,https://www.sephora.com/happening/storelist,California,"Pasadena, Pasadena",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-67,https://www.sephora.com/happening/storelist,California,"Pleasanton, Stoneridge",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-68,https://www.sephora.com/happening/storelist,California,"Rancho Cucamonga, Rancho Cucamonga",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-69,https://www.sephora.com/happening/storelist,California,"Redlands, Redlands",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-70,https://www.sephora.com/happening/storelist,California,"Riverside, Canyon Springs Marketplace",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-71,https://www.sephora.com/happening/storelist,California,"Riverside, Riverside",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-72,https://www.sephora.com/happening/storelist,California,"Roseville, Roseville Galleria",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-73,https://www.sephora.com/happening/storelist,California,"Roseville, The Fountains",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-74,https://www.sephora.com/happening/storelist,California,"Sacramento, Arden Fair",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-75,https://www.sephora.com/happening/storelist,California,"San Diego, Carmel Mountain Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-76,https://www.sephora.com/happening/storelist,California,"San Diego, Fashion Valley",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-77,https://www.sephora.com/happening/storelist,California,"San Diego, Liberty Station",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-78,https://www.sephora.com/happening/storelist,California,"San Diego, One Paseo",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-79,https://www.sephora.com/happening/storelist,California,"San Diego, University Towne Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-80,https://www.sephora.com/happening/storelist,California,"San Francisco, Embarcadero",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-81,https://www.sephora.com/happening/storelist,California,"San Francisco, Laurel Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-82,https://www.sephora.com/happening/storelist,California,"San Francisco, Powell",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-83,https://www.sephora.com/happening/storelist,California,"San Francisco, Stonestown",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-84,https://www.sephora.com/happening/storelist,California,"San Francisco, Union Street",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-85,https://www.sephora.com/happening/storelist,California,"San Jose, Oakridge",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-86,https://www.sephora.com/happening/storelist,California,"San Jose, Santana Row",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-87,https://www.sephora.com/happening/storelist,California,"San Jose, Westgate",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-88,https://www.sephora.com/happening/storelist,California,"San Leandro, Marina Square",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-89,https://www.sephora.com/happening/storelist,California,"San Luis Obispo, San Luis Obispo",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-90,https://www.sephora.com/happening/storelist,California,"San Mateo, Hillsdale",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-91,https://www.sephora.com/happening/storelist,California,"San Ramon, Bishop Ranch",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-92,https://www.sephora.com/happening/storelist,California,"Santa Barbara, Santa Barbara",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-93,https://www.sephora.com/happening/storelist,California,"Santa Clara, Santa Clara Square",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-94,https://www.sephora.com/happening/storelist,California,"Santa Clara, Valley Fair",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-95,https://www.sephora.com/happening/storelist,California,"Santa Monica, Santa Monica",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-96,https://www.sephora.com/happening/storelist,California,"Santa Rosa, Santa Rosa Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-97,https://www.sephora.com/happening/storelist,California,"Santee, Santee",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-98,https://www.sephora.com/happening/storelist,California,"Sherman Oaks, Fashion Square",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-99,https://www.sephora.com/happening/storelist,California,"Stockton, Lincoln Center",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-100,https://www.sephora.com/happening/storelist,California,"Studio City, Studio City",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-101,https://www.sephora.com/happening/storelist,California,"Temecula, Temecula",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-102,https://www.sephora.com/happening/storelist,California,"Thousand Oaks, The Oaks",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-103,https://www.sephora.com/happening/storelist,California,"Thousand Oaks, Westlake Village",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-104,https://www.sephora.com/happening/storelist,California,"Torrance, Del Amo",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-105,https://www.sephora.com/happening/storelist,California,"Torrance, Rolling Hills Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-106,https://www.sephora.com/happening/storelist,California,"Tustin, Tustin Market Place",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-107,https://www.sephora.com/happening/storelist,California,"Universal City, Universal City Walk",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-108,https://www.sephora.com/happening/storelist,California,"Upland, Colonies Crossroads",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-109,https://www.sephora.com/happening/storelist,California,"Valencia, Valencia",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-110,https://www.sephora.com/happening/storelist,California,"Ventura, Ventura",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-111,https://www.sephora.com/happening/storelist,California,"Walnut Creek, Broadway Plaza",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-112,https://www.sephora.com/happening/storelist,California,"West Covina, Plaza West Covina",,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,,missing,missing
1723130325-113,https://www.sephora.com/happening/storelist,California,,,,,United States,1-877-737-4672    TTY: 1-888-866-9845,,", Alhambra, Alhambra PlaceAnaheim, Anaheim - DisneyAntioch, Slatten RanchArcadia, Santa AnitaBakersfield, The Shops At River WalkBakersfield, Valley PlazaBerkeley, BerkeleyBrea, BreaBurbank, Burbank Empire CenterBurlingame, BurlingameCalabasas, CalabasasCanoga Park, TopangaCarlsbad, Shoppes At CarlsbadCerritos, Los CerritosChino Hills, Chino HillsChula Vista, Otay RanchConcord, The VerandaCorona, Crossings at CoronaCorte Madera, Corte MaderaCosta Mesa, South Coast PlazaCosta Mesa, South Coast Plaza WestCulver City, Culver CityCulver City, The Steps At Culver CityDaly City, Daly CityDowney, Downey LandingDublin, Persimmon PlaceElk Grove, The Ridge Shopping CenterEmeryville, EmeryvilleEncinitas, Encinitas VillageFolsom, FolsomFoothill Ranch, Foothill Ranch Towne CenterFremont, Pacific CommonsFresno, Fashion FairFresno, River ParkGlendale, Americana - GlendaleHollywood, Ovation HollywoodHuntington Beach, Huntington BeachIrvine, Irvine SpectrumLa Jolla, La Jolla VillageLaguna Niguel, Aliso VillageLong Beach, Long BeachLos Angeles, Beverly CenterLos Angeles, Beverly DriveLos Angeles, Century CityLos Angeles, Fig At 7thLos Angeles, The GroveLos Angeles, USC VillageLos Gatos, Los GatosMalibu, MalibuManhattan Beach, Manhattan VillageMarina Del Rey, Marina Del ReyMilpitas, The Great MallMission Viejo, Mission ViejoModesto, ModestoMontclair, MontclairMonterey, MontereyNorthridge, Northridge FashionNovato, NovatoNY, HarlemOntario, Ontario MillsPacific Palisades, Pacific PalisadesPalm Desert, Palm DesertPalm Springs, Palm SpringsPalo Alto, Downtown Palo AltoPalo Alto, StanfordPasadena, PasadenaPleasanton, StoneridgeRancho Cucamonga, Rancho CucamongaRedlands, RedlandsRiverside, Canyon Springs MarketplaceRiverside, RiversideRoseville, Roseville GalleriaRoseville, The FountainsSacramento, Arden FairSan Diego, Carmel Mountain PlazaSan Diego, Fashion ValleySan Diego, Liberty StationSan Diego, One PaseoSan Diego, University Towne CenterSan Francisco, EmbarcaderoSan Francisco, Laurel VillageSan Francisco, PowellSan Francisco, StonestownSan Francisco, Union StreetSan Jose, OakridgeSan Jose, Santana RowSan Jose, WestgateSan Leandro, Marina SquareSan Luis Obispo, San Luis ObispoSan Mateo, HillsdaleSan Ramon, Bishop RanchSanta Barbara, Santa BarbaraSanta Clara, Santa Clara SquareSanta Clara, Valley FairSanta Monica, Santa MonicaSanta Rosa, Santa Rosa PlazaSantee, SanteeSherman Oaks, Fashion SquareStockton, Lincoln CenterStudio City, Studio CityTemecula, TemeculaThousand Oaks, The OaksThousand Oaks, Westlake VillageTorrance, Del AmoTorrance, Rolling Hills PlazaTustin, Tustin Market PlaceUniversal City, Universal City WalkUpland, Colonies CrossroadsValencia, ValenciaVentura, VenturaWalnut Creek, Broadway PlazaWest Covina, Plaza West Covina",,
